#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
      120000       3.818001e-03       5.466691e-04       2.067491e-03       1.651447e-01       7.454424e-03       3.389573e-02
      122000       1.222457e-02       5.378361e-04       6.674751e-03       1.193180e-01       8.432166e-03       3.545601e-02
      124000       8.888018e-03       1.087490e-03       4.736632e-03       3.065318e-01       9.512741e-03       4.838223e-02
      126000       5.841172e-03       4.190109e-04       2.913013e-03       1.487852e-01       6.474583e-03       3.415665e-02
      128000       1.135482e-02       1.098201e-03       6.607037e-03       1.505151e-01       7.765248e-03       3.550827e-02
      130000       8.794229e-03       9.332024e-04       5.047638e-03       2.103112e-01       5.728838e-03       4.090059e-02
      132000       7.105607e-03       3.972809e-04       3.637626e-03       1.850373e-01       8.290867e-03       3.783459e-02
      134000       9.026462e-03       3.616675e-04       4.703635e-03       1.409244e-01       8.288525e-03       3.480523e-02
      136000       1.542310e-02       6.877194e-04       8.213307e-03       1.386441e-01       8.178273e-03       3.535396e-02
      138000       5.928608e-03       6.264562e-04       3.406474e-03       1.793245e-01       7.204884e-03       3.513271e-02
      140000       1.134513e-02       3.430890e-04       5.874369e-03       1.889548e-01       7.734705e-03       3.835522e-02
      142000       9.352138e-03       5.186318e-04       4.995880e-03       1.528222e-01       8.483406e-03       3.719045e-02
      144000       7.052465e-03       3.231285e-04       3.950749e-03       1.099576e-01       7.315164e-03       3.203107e-02
      146000       1.009215e-02       2.250739e-04       5.508511e-03       1.849518e-01       5.917150e-03       3.455475e-02
      148000       8.682086e-03       6.451330e-04       4.770696e-03       2.125027e-01       8.419823e-03       3.870159e-02
      150000       1.248568e-02       6.630168e-04       6.915582e-03       1.871701e-01       1.000063e-02       4.063597e-02
      152000       1.280067e-02       1.889007e-04       6.978192e-03       1.332590e-01       7.498358e-03       3.869927e-02
      154000       1.565137e-02       9.500570e-04       8.728218e-03       1.288232e-01       9.015438e-03       3.533830e-02
      156000       8.391805e-03       8.522329e-04       4.515593e-03       1.413856e-01       7.186101e-03       3.280814e-02
      158000       1.029336e-02       4.853302e-04       5.617557e-03       1.832421e-01       7.216591e-03       3.621847e-02
      160000       7.545827e-03       7.008360e-04       4.226798e-03       1.355341e-01       6.990277e-03       3.679749e-02
      162000       1.335950e-02       8.641828e-04       7.151731e-03       1.628256e-01       6.974239e-03       3.790014e-02
      164000       5.420477e-03       6.552024e-04       3.091620e-03       1.764700e-01       9.885648e-03       3.688297e-02
      166000       4.341579e-03       7.281888e-04       2.305267e-03       1.943218e-01       8.258954e-03       3.649453e-02
      168000       8.489551e-03       7.940522e-04       4.849786e-03       1.844536e-01       6.349219e-03       4.010489e-02
      170000       7.308717e-03       1.006289e-03       4.286744e-03       1.606091e-01       1.030535e-02       3.511015e-02
      172000       7.137669e-03       7.847282e-04       3.623250e-03       1.988873e-01       9.970271e-03       3.794297e-02
      174000       6.353805e-03       5.145089e-04       3.319031e-03       1.583991e-01       9.222069e-03       3.814511e-02
      176000       9.327808e-03       5.364746e-04       4.944744e-03       1.871207e-01       8.989053e-03       4.131920e-02
      178000       7.971249e-03       3.230796e-04       4.263304e-03       1.880371e-01       8.859807e-03       3.919593e-02
      180000       1.483868e-02       8.644738e-04       7.969643e-03       1.919870e-01       9.325727e-03       3.961607e-02
      182000       7.123115e-03       6.935975e-04       3.658117e-03       2.416978e-01       7.275930e-03       4.027243e-02
      184000       3.916809e-03       5.644445e-04       2.120811e-03       1.818088e-01       4.700122e-03       3.519013e-02
      186000       9.002416e-03       1.976722e-04       4.773021e-03       1.707802e-01       8.179344e-03       3.460672e-02
      188000       9.384883e-03       3.999740e-04       5.285989e-03       1.597925e-01       5.640064e-03       3.577289e-02
      190000       6.217249e-03       1.173937e-03       3.414167e-03       1.540550e-01       7.404379e-03       3.611701e-02
      192000       1.032063e-02       9.133915e-04       5.941514e-03       2.026141e-01       8.898310e-03       3.965796e-02
      194000       1.376152e-02       8.680880e-04       6.967416e-03       3.802422e-01       8.698075e-03       4.502685e-02
      196000       7.589731e-03       3.596740e-04       4.327786e-03       3.838781e-01       9.019452e-03       4.691266e-02
      198000       1.302896e-02       6.913981e-04       7.415329e-03       2.250371e-01       9.325154e-03       4.037912e-02
      200000       5.503884e-03       6.206621e-04       2.988338e-03       1.492137e-01       9.192203e-03       3.687368e-02
      202000       1.141207e-02       8.098488e-04       6.315878e-03       1.953000e-01       8.859015e-03       3.729150e-02
      204000       7.106413e-03       6.105436e-04       3.754850e-03       1.101638e-01       7.886083e-03       3.339974e-02
      206000       6.105511e-03       6.391667e-04       3.138269e-03       2.405167e-01       8.177563e-03       4.193596e-02
      208000       7.893505e-03       8.754417e-04       4.407311e-03       1.757534e-01       7.204688e-03       3.827294e-02
      210000       6.620894e-03       3.224263e-04       3.862070e-03       1.245814e-01       4.417348e-03       3.098456e-02
      212000       1.118028e-02       8.122445e-04       6.166523e-03       1.466419e-01       7.970768e-03       3.644148e-02
      214000       1.108088e-02       2.022303e-04       6.339222e-03       1.819256e-01       7.136336e-03       3.801991e-02
      216000       6.846164e-03       7.295966e-04       3.802488e-03       2.318438e-01       6.469997e-03       4.093991e-02
      218000       5.112871e-03       6.309829e-05       2.711159e-03       1.613021e-01       6.923438e-03       3.620310e-02
      220000       9.749214e-03       9.702649e-04       5.180211e-03       1.915202e-01       7.337641e-03       3.709980e-02
      222000       6.473543e-03       1.805884e-04       3.467393e-03       1.806527e-01       8.310773e-03       3.743107e-02
      224000       1.057283e-02       1.047761e-03       5.964480e-03       2.706671e-01       8.266745e-03       4.278549e-02
      226000       3.470570e-03       5.651701e-04       2.064199e-03       2.317154e-01       8.289438e-03       3.836931e-02
      228000       9.905252e-03       8.734586e-04       5.332264e-03       2.474954e-01       9.774994e-03       4.592661e-02
      230000       1.077390e-02       5.836279e-04       6.214123e-03       1.854865e-01       9.829432e-03       3.760245e-02
      232000       1.229048e-02       8.409637e-04       6.538082e-03       1.435968e-01       5.026185e-03       3.644826e-02
      234000       8.313577e-03       3.912794e-04       4.493100e-03       1.238043e-01       8.183628e-03       3.412727e-02
      236000       8.163336e-03       1.198957e-03       4.523188e-03       2.203704e-01       6.375402e-03       4.343587e-02
      238000       1.209153e-02       6.906713e-04       6.841517e-03       1.438387e-01       8.121897e-03       3.712745e-02
      240000       1.141676e-02       5.860389e-04       6.534073e-03       1.697563e-01       8.782977e-03       3.785187e-02
      242000       1.168941e-02       5.212958e-04       6.354599e-03       1.816077e-01       6.365526e-03       3.883288e-02
      244000       8.822689e-03       2.570061e-04       4.977624e-03       1.703904e-01       7.816742e-03       3.717650e-02
      246000       1.097528e-02       4.211355e-04       6.170579e-03       1.917191e-01       9.374592e-03       3.809252e-02
      248000       9.267874e-03       4.065069e-04       5.188362e-03       1.163155e-01       1.034929e-02       3.381965e-02
      250000       9.850725e-03       7.738247e-04       5.314691e-03       2.156592e-01       6.343533e-03       4.095364e-02
      252000       1.179996e-02       8.635657e-04       6.542998e-03       1.450168e-01       8.318865e-03       3.481599e-02
      254000       9.046392e-03       7.555390e-04       4.956341e-03       1.671965e-01       1.006785e-02       3.982629e-02
      256000       6.363623e-03       5.183572e-04       3.410207e-03       1.549110e-01       7.847130e-03       3.822249e-02
      258000       7.092910e-03       4.181830e-04       3.955808e-03       1.942163e-01       8.273270e-03       3.542563e-02
      260000       8.890013e-03       1.205191e-03       5.123762e-03       2.001416e-01       6.862571e-03       3.974604e-02
      262000       7.718850e-03       7.249114e-04       3.835272e-03       1.221505e-01       9.424450e-03       3.419750e-02
      264000       8.548406e-03       5.184998e-04       4.695499e-03       1.620205e-01       9.028062e-03       3.395380e-02
      266000       1.040383e-02       1.004148e-03       5.850740e-03       2.108272e-01       7.163356e-03       3.598172e-02
      268000       7.096953e-03       7.444283e-04       3.922105e-03       1.279161e-01       7.605367e-03       3.086540e-02
      270000       7.178639e-03       6.711288e-04       3.497569e-03       2.083626e-01       5.003809e-03       3.695942e-02
      272000       1.466038e-02       4.483854e-04       7.768112e-03       2.022971e-01       9.824173e-03       3.730884e-02
      274000       6.695470e-03       4.652547e-04       3.547359e-03       1.601853e-01       8.270421e-03       3.429407e-02
      276000       5.180969e-03       3.253973e-04       2.748998e-03       1.066133e-01       9.478173e-03       3.239649e-02
      278000       9.573513e-03       4.354540e-04       5.286289e-03       1.727639e-01       7.708324e-03       3.581852e-02
      280000       1.375316e-02       7.742264e-04       7.134032e-03       3.260133e-01       5.198247e-03       4.023683e-02
      282000       8.674784e-03       8.492616e-04       4.627153e-03       1.540138e-01       9.061349e-03       3.648800e-02
      284000       6.971504e-03       5.896809e-04       3.661169e-03       1.395534e-01       6.798656e-03       3.678435e-02
      286000       9.819451e-03       5.458131e-04       4.693317e-03       1.742484e-01       8.045556e-03       3.659178e-02
      288000       7.826151e-03       1.867976e-04       4.222333e-03       2.417026e-01       7.697236e-03       4.032396e-02
      290000       8.577207e-03       5.452456e-04       4.576746e-03       1.295695e-01       6.944991e-03       3.547937e-02
      292000       7.468847e-03       5.998411e-04       4.035358e-03       1.576859e-01       7.141310e-03       3.773692e-02
      294000       9.290606e-03       1.018891e-04       4.572122e-03       1.942275e-01       7.703906e-03       4.691253e-02
      296000       6.381965e-03       8.310230e-04       3.430026e-03       1.778634e-01       7.554004e-03       3.492852e-02
      298000       1.278549e-02       6.055619e-04       6.986816e-03       1.471194e-01       7.026720e-03       3.485438e-02
      300000       8.041892e-03       5.547627e-04       4.312077e-03       2.299420e-01       5.720312e-03       3.918390e-02
      302000       8.656243e-03       8.679755e-04       4.980222e-03       2.138042e-01       1.020753e-02       4.045882e-02
      304000       7.352812e-03       1.597576e-03       4.221643e-03       2.320495e-01       7.246900e-03       3.633715e-02
      306000       1.100519e-02       2.087392e-04       5.848564e-03       1.475494e-01       5.447194e-03       3.647509e-02
      308000       6.919641e-03       6.104382e-04       3.643197e-03       1.413893e-01       8.888675e-03       3.210323e-02
      310000       8.204997e-03       5.721503e-04       4.445464e-03       1.494565e-01       8.915822e-03       3.800070e-02
      312000       5.273703e-03       6.765452e-04       3.022105e-03       1.794285e-01       7.790793e-03       3.565537e-02
      314000       9.685553e-03       4.140253e-04       5.283709e-03       1.435551e-01       1.033130e-02       3.551170e-02
      316000       8.553029e-03       4.584290e-04       4.371481e-03       1.694372e-01       3.780723e-03       3.349121e-02
      318000       1.202110e-02       3.911623e-04       6.553579e-03       1.502695e-01       6.456476e-03       3.341484e-02
      320000       9.711881e-03       8.220187e-04       5.314487e-03       1.269674e-01       6.443244e-03       3.346521e-02
      322000       1.038151e-02       1.591438e-04       5.218421e-03       1.775464e-01       5.768211e-03       3.727697e-02
      324000       1.485533e-02       3.458006e-04       7.844175e-03       1.409405e-01       6.836668e-03       3.968881e-02
      326000       8.233688e-03       4.378657e-04       4.178078e-03       1.686331e-01       7.333208e-03       3.840830e-02
      328000       1.136658e-02       3.584835e-04       6.228669e-03       1.391335e-01       1.053553e-02       3.361783e-02
      330000       9.241163e-03       8.568563e-04       5.019207e-03       1.340851e-01       9.392980e-03       3.373907e-02
      332000       1.264175e-02       5.198404e-04       6.763558e-03       1.650802e-01       9.780040e-03       3.810530e-02
      334000       1.067831e-02       2.803429e-04       6.212351e-03       2.958646e-01       5.709293e-03       3.956472e-02
      336000       1.103029e-02       4.058860e-04       6.033213e-03       1.316227e-01       6.945171e-03       3.266576e-02
      338000       8.180654e-03       6.631572e-04       4.663273e-03       2.382308e-01       9.799967e-03       4.501044e-02
      340000       1.549347e-02       1.231080e-03       8.601658e-03       4.151819e-01       6.915535e-03       6.335176e-02
      342000       8.973739e-03       1.005526e-03       5.140078e-03       2.115844e-01       5.599537e-03       4.510100e-02
      344000       2.568734e-03       8.607748e-04       1.526441e-03       2.601939e-01       8.246767e-03       3.698516e-02
      346000       1.271945e-02       4.831392e-04       6.945781e-03       1.975266e-01       8.112853e-03       3.908167e-02
      348000       8.275573e-03       7.169702e-04       4.430230e-03       1.545719e-01       9.883013e-03       3.611669e-02
